ID,Protocollo,Password,Frequenza
sLEuUZwVSG8WiS6DJ,WPA3,NC$6442cA7WdppNmA%%B35,1041130837,133746
KjpnSrrEraOUoBGjk,WPA,o97imN6zF.5OM4pE,1211370622,938162
9YqkYewJ9uCwdKRj,WPA3,6S.e5XaMlRbHVQJkgbwxB.t,3568532321,104101
EiLpRaEw1Mk513k5o,WPA3,fo$xf-N|049mkB71ia:m4,2965091388,684693
AhZkmRr0VzQWoqG2vzISQ,WPA,-Zhtxuyz1Wz7d,2611227803,422892
rsFc54gNlskh0HUa5,WPA2,8l|G1czLLMtDMxFMVlWelQ,4677137609,718048
x3kYGAZO2EyBe,WPA,mvU!d_JnUXkL_c2bF?wfCyt7,3551720020,958470
JpJmU6qgcXvnpdOzD76aSJ,WPA,J_0KG%iro1oX_6sOBO,4412460456,816378
fmgBym5AwL7KP3YW,WEP,v!OxDaA|Q7bv9GJTps,1893121273,745094
lCV7uetqjZc01hKRK8ZZu,WPA,4yF$jje1UfV-bTIooA,1177818228,319579
